curve_name,prime,order,algorithm,trial,secret,operations,additions,doublings,solved
p=97,97,50,Brute Force,1,31,30,29,1,True
p=97,97,50,Baby-Step Giant-Step,1,31,14,9,5,True
p=97,97,50,Pollard Rho,1,31,0,0,0,False
p=97,97,50,Pollard Kangaroo,1,31,209,177,32,True
p=97,97,50,Brute Force,2,12,11,10,1,True
p=97,97,50,Baby-Step Giant-Step,2,12,12,7,5,True
p=97,97,50,Pollard Rho,2,12,0,0,0,False
p=97,97,50,Pollard Kangaroo,2,12,209,177,32,True
p=97,97,50,Brute Force,3,47,46,45,1,True
p=97,97,50,Baby-Step Giant-Step,3,47,16,11,5,True
p=97,97,50,Pollard Rho,3,47,75,48,27,True
p=97,97,50,Pollard Kangaroo,3,47,209,177,32,True
p=97,97,50,Brute Force,4,38,37,36,1,True
p=97,97,50,Baby-Step Giant-Step,4,38,15,10,5,True
p=97,97,50,Pollard Rho,4,38,42,27,15,True
p=97,97,50,Pollard Kangaroo,4,38,210,178,32,True
p=97,97,50,Brute Force,5,20,19,18,1,True
p=97,97,50,Baby-Step Giant-Step,5,20,13,8,5,True
p=97,97,50,Pollard Rho,5,20,42,21,21,True
p=97,97,50,Pollard Kangaroo,5,20,209,177,32,True
p=97,97,50,Brute Force,6,13,12,11,1,True
p=97,97,50,Baby-Step Giant-Step,6,13,12,7,5,True
p=97,97,50,Pollard Rho,6,13,0,0,0,False
p=97,97,50,Pollard Kangaroo,6,13,209,177,32,True
p=97,97,50,Brute Force,7,47,46,45,1,True
p=97,97,50,Baby-Step Giant-Step,7,47,16,11,5,True
p=97,97,50,Pollard Rho,7,47,139,68,71,True
p=97,97,50,Pollard Kangaroo,7,47,209,177,32,True
p=97,97,50,Brute Force,8,27,26,25,1,True
p=97,97,50,Baby-Step Giant-Step,8,27,14,9,5,True
p=97,97,50,Pollard Rho,8,27,173,91,82,True
p=97,97,50,Pollard Kangaroo,8,27,209,177,32,True
p=97,97,50,Brute Force,9,49,48,47,1,True
p=97,97,50,Baby-Step Giant-Step,9,49,17,12,5,True
p=97,97,50,Pollard Rho,9,49,44,22,22,True
p=97,97,50,Pollard Kangaroo,9,49,210,176,34,True
p=97,97,50,Brute Force,10,46,45,44,1,True
p=97,97,50,Baby-Step Giant-Step,10,46,16,11,5,True
p=97,97,50,Pollard Rho,10,46,85,43,42,True
p=97,97,50,Pollard Kangaroo,10,46,209,177,32,True
p=97,97,50,Brute Force,11,49,48,47,1,True
p=97,97,50,Baby-Step Giant-Step,11,49,17,12,5,True
p=97,97,50,Pollard Rho,11,49,63,31,32,True
p=97,97,50,Pollard Kangaroo,11,49,210,176,34,True
p=97,97,50,Brute Force,12,17,16,15,1,True
p=97,97,50,Baby-Step Giant-Step,12,17,13,8,5,True
p=97,97,50,Pollard Rho,12,17,0,0,0,False
p=97,97,50,Pollard Kangaroo,12,17,212,180,32,True
p=97,97,50,Brute Force,13,35,34,33,1,True
p=97,97,50,Baby-Step Giant-Step,13,35,15,10,5,True
p=97,97,50,Pollard Rho,13,35,176,87,89,True
p=97,97,50,Pollard Kangaroo,13,35,211,177,34,True
p=97,97,50,Brute Force,14,16,15,14,1,True
p=97,97,50,Baby-Step Giant-Step,14,16,12,7,5,True
p=97,97,50,Pollard Rho,14,16,0,0,0,False
p=97,97,50,Pollard Kangaroo,14,16,210,178,32,True
p=97,97,50,Brute Force,15,41,40,39,1,True
p=97,97,50,Baby-Step Giant-Step,15,41,16,11,5,True
p=97,97,50,Pollard Rho,15,41,181,95,86,True
p=97,97,50,Pollard Kangaroo,15,41,209,177,32,True
p=97,97,50,Brute Force,16,48,47,46,1,True
p=97,97,50,Baby-Step Giant-Step,16,48,16,11,5,True
p=97,97,50,Pollard Rho,16,48,42,23,19,True
p=97,97,50,Pollard Kangaroo,16,48,210,176,34,True
p=97,97,50,Brute Force,17,32,31,30,1,True
p=97,97,50,Baby-Step Giant-Step,17,32,14,9,5,True
p=97,97,50,Pollard Rho,17,32,0,0,0,False
p=97,97,50,Pollard Kangaroo,17,32,210,178,32,True
p=97,97,50,Brute Force,18,23,22,21,1,True
p=97,97,50,Baby-Step Giant-Step,18,23,13,8,5,True
p=97,97,50,Pollard Rho,18,23,29,9,20,True
p=97,97,50,Pollard Kangaroo,18,23,209,177,32,True
p=97,97,50,Brute Force,19,27,26,25,1,True
p=97,97,50,Baby-Step Giant-Step,19,27,14,9,5,True
p=97,97,50,Pollard Rho,19,27,0,0,0,False
p=97,97,50,Pollard Kangaroo,19,27,209,177,32,True
p=97,97,50,Brute Force,20,34,33,32,1,True
p=97,97,50,Baby-Step Giant-Step,20,34,15,10,5,True
p=97,97,50,Pollard Rho,20,34,0,0,0,False
p=97,97,50,Pollard Kangaroo,20,34,211,177,34,True
p=97,97,50,Brute Force,21,47,46,45,1,True
p=97,97,50,Baby-Step Giant-Step,21,47,16,11,5,True
p=97,97,50,Pollard Rho,21,47,19,14,5,True
p=97,97,50,Pollard Kangaroo,21,47,209,177,32,True
p=97,97,50,Brute Force,22,40,39,38,1,True
p=97,97,50,Baby-Step Giant-Step,22,40,15,10,5,True
p=97,97,50,Pollard Rho,22,40,0,0,0,False
p=97,97,50,Pollard Kangaroo,22,40,210,178,32,True
p=97,97,50,Brute Force,23,14,13,12,1,True
p=97,97,50,Baby-Step Giant-Step,23,14,12,7,5,True
p=97,97,50,Pollard Rho,23,14,0,0,0,False
p=97,97,50,Pollard Kangaroo,23,14,212,178,34,True
p=97,97,50,Brute Force,24,20,19,18,1,True
p=97,97,50,Baby-Step Giant-Step,24,20,13,8,5,True
p=97,97,50,Pollard Rho,24,20,0,0,0,False
p=97,97,50,Pollard Kangaroo,24,20,209,177,32,True
p=97,97,50,Brute Force,25,35,34,33,1,True
p=97,97,50,Baby-Step Giant-Step,25,35,15,10,5,True
p=97,97,50,Pollard Rho,25,35,0,0,0,False
p=97,97,50,Pollard Kangaroo,25,35,211,177,34,True
p=499,499,252,Brute Force,1,181,180,179,1,True
p=499,499,252,Baby-Step Giant-Step,1,181,31,25,6,True
p=499,499,252,Pollard Rho,1,181,0,0,0,False
p=499,499,252,Pollard Kangaroo,1,181,423,389,34,True
p=499,499,252,Brute Force,2,85,84,83,1,True
p=499,499,252,Baby-Step Giant-Step,2,85,25,19,6,True
p=499,499,252,Pollard Rho,2,85,0,0,0,False
p=499,499,252,Pollard Kangaroo,2,85,407,373,34,True
p=499,499,252,Brute Force,3,133,132,131,1,True
p=499,499,252,Baby-Step Giant-Step,3,133,28,22,6,True
p=499,499,252,Pollard Rho,3,133,0,0,0,False
p=499,499,252,Pollard Kangaroo,3,133,410,376,34,True
p=499,499,252,Brute Force,4,20,19,18,1,True
p=499,499,252,Baby-Step Giant-Step,4,20,21,15,6,True
p=499,499,252,Pollard Rho,4,20,0,0,0,False
p=499,499,252,Pollard Kangaroo,4,20,415,381,34,True
p=499,499,252,Brute Force,5,188,187,186,1,True
p=499,499,252,Baby-Step Giant-Step,5,188,31,25,6,True
p=499,499,252,Pollard Rho,5,188,177,109,68,True
p=499,499,252,Pollard Kangaroo,5,188,408,374,34,True
p=499,499,252,Brute Force,6,199,198,197,1,True
p=499,499,252,Baby-Step Giant-Step,6,199,32,26,6,True
p=499,499,252,Pollard Rho,6,199,0,0,0,False
p=499,499,252,Pollard Kangaroo,6,199,407,373,34,True
p=499,499,252,Brute Force,7,222,221,220,1,True
p=499,499,252,Baby-Step Giant-Step,7,222,33,27,6,True
p=499,499,252,Pollard Rho,7,222,0,0,0,False
p=499,499,252,Pollard Kangaroo,7,222,414,380,34,True
p=499,499,252,Brute Force,8,53,52,51,1,True
p=499,499,252,Baby-Step Giant-Step,8,53,23,17,6,True
p=499,499,252,Pollard Rho,8,53,0,0,0,False
p=499,499,252,Pollard Kangaroo,8,53,419,385,34,True
p=499,499,252,Brute Force,9,177,176,175,1,True
p=499,499,252,Baby-Step Giant-Step,9,177,31,25,6,True
p=499,499,252,Pollard Rho,9,177,0,0,0,False
p=499,499,252,Pollard Kangaroo,9,177,424,390,34,True
p=499,499,252,Brute Force,10,193,192,191,1,True
p=499,499,252,Baby-Step Giant-Step,10,193,32,26,6,True
p=499,499,252,Pollard Rho,10,193,0,0,0,False
p=499,499,252,Pollard Kangaroo,10,193,409,375,34,True
p=499,499,252,Brute Force,11,187,186,185,1,True
p=499,499,252,Baby-Step Giant-Step,11,187,31,25,6,True
p=499,499,252,Pollard Rho,11,187,0,0,0,False
p=499,499,252,Pollard Kangaroo,11,187,409,375,34,True
p=499,499,252,Brute Force,12,120,119,118,1,True
p=499,499,252,Baby-Step Giant-Step,12,120,27,21,6,True
p=499,499,252,Pollard Rho,12,120,0,0,0,False
p=499,499,252,Pollard Kangaroo,12,120,408,374,34,True
p=499,499,252,Brute Force,13,237,236,235,1,True
p=499,499,252,Baby-Step Giant-Step,13,237,34,28,6,True
p=499,499,252,Pollard Rho,13,237,0,0,0,False
p=499,499,252,Pollard Kangaroo,13,237,416,382,34,True
p=499,499,252,Brute Force,14,182,181,180,1,True
p=499,499,252,Baby-Step Giant-Step,14,182,31,25,6,True
