curve_name,algorithm,mean_ops,median_ops,std_ops,success_rate
p=97,Brute Force,31.32,33,12.476281497305196,1.0
p=97,Baby-Step Giant-Step,14.44,15,1.576832267554162,1.0
p=97,Pollard Rho,44.4,19,59.649643754175095,0.52
p=97,Pollard Kangaroo,209.76,209,0.9499473669630334,1.0
p=499,Brute Force,151.2,180,70.32325362211279,1.0
p=499,Baby-Step Giant-Step,29,31,4.33589667773576,1.0
p=499,Pollard Rho,28.56,0,75.40879524299537,0.16
p=499,Pollard Kangaroo,413.12,413,5.361492329566461,1.0
p=911,Brute Force,39.8,41,19.06200409191017,1.0
p=911,Baby-Step Giant-Step,17.56,18,2.001599360511489,1.0
p=911,Pollard Rho,16.92,0,45.603438466852474,0.24
p=911,Pollard Kangaroo,262.56,263,2.041176131547692,1.0
p=1237,Brute Force,56.8,53,26.928052287530935,1.0
p=1237,Baby-Step Giant-Step,20.72,20,2.506312031651287,1.0
p=1237,Pollard Rho,15.48,0,44.616696426337974,0.12
p=1237,Pollard Kangaroo,254.2,254,1.876166303929372,1.0
p=1613,Brute Force,273.6,245,145.1451687105017,1.0
p=1613,Baby-Step Giant-Step,39.96,39,5.989858095147163,1.0
p=1613,Pollard Rho,40.92,0,146.3589887912594,0.08
p=1613,Pollard Kangaroo,607,604,9.736529155710468,1.0
p=1999,Brute Force,220.36,198,129.37816817376878,1.0
p=1999,Baby-Step Giant-Step,39.04,38,5.567620676734363,1.0
p=1999,Pollard Rho,41.68,0,93.73141202393144,0.2
p=1999,Pollard Kangaroo,581.96,583,4.449539301995208,1.0
